Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol
ENSG00000210049	ENSG00000210049.1		MT-TF	MT-TF
ENSG00000211459	ENSG00000211459.2		MT-RNR1	MT-RNR1
ENSG00000210077	ENSG00000210077.1		MT-TV	MT-TV
ENSG00000210082	ENSG00000210082.2		MT-RNR2	MT-RNR2
ENSG00000209082	ENSG00000209082.1		MT-TL1	MT-TL1
ENSG00000198888	ENSG00000198888.2	4535	MT-ND1	MT-ND1
ENSG00000210100	ENSG00000210100.1		MT-TI	MT-TI
ENSG00000210107	ENSG00000210107.1		MT-TQ	MT-TQ
ENSG00000210112	ENSG00000210112.1		MT-TM	MT-TM
ENSG00000198763	ENSG00000198763.3	4536	MT-ND2	MT-ND2
ENSG00000210117	ENSG00000210117.1		MT-TW	MT-TW
ENSG00000210127	ENSG00000210127.1		MT-TA	MT-TA
ENSG00000210135	ENSG00000210135.1		MT-TN	MT-TN
ENSG00000210140	ENSG00000210140.1		MT-TC	MT-TC
ENSG00000210144	ENSG00000210144.1		MT-TY	MT-TY
ENSG00000198804	ENSG00000198804.2	4512	MT-CO1	MT-CO1
ENSG00000210151	ENSG00000210151.2	113219467	MT-TS1	MT-TS1
ENSG00000210154	ENSG00000210154.1		MT-TD	MT-TD
ENSG00000198712	ENSG00000198712.1	4513	MT-CO2	MT-CO2
ENSG00000210156	ENSG00000210156.1		MT-TK	MT-TK
ENSG00000228253	ENSG00000228253.1	4509	MT-ATP8	MT-ATP8
ENSG00000198899	ENSG00000198899.2	4508	MT-ATP6	MT-ATP6
ENSG00000198938	ENSG00000198938.2	4514	MT-CO3	MT-CO3
ENSG00000210164	ENSG00000210164.1		MT-TG	MT-TG
ENSG00000198840	ENSG00000198840.2	4537	MT-ND3	MT-ND3
ENSG00000210174	ENSG00000210174.1		MT-TR	MT-TR
ENSG00000212907	ENSG00000212907.2	4539	MT-ND4L	MT-ND4L
ENSG00000198886	ENSG00000198886.2	4538	MT-ND4	MT-ND4
ENSG00000210176	ENSG00000210176.1		MT-TH	MT-TH
ENSG00000210184	ENSG00000210184.1		MT-TS2	MT-TS2
