GeneID,Cluster,Mean,Variance,IQR,Q5,Q10,Q15,Q20,Q25,Q30,Q35,Q40,Q45,Q50,Q55,Q60,Q65,Q70,Q75,Q80,Q85,Q90,Q95
28977,Cluster:10,11.7147665,223.9241946,8.637211389,0.75439798,1.725253825,2.683065274,3.390240623,4.091368466,4.776010311,5.480983924,6.188909275,6.903801936,7.653145975,8.4205805,9.318819479,10.29733665,11.37319949,12.72857986,14.86036206,18.19820986,23.8368826,39.78476155
55131,Cluster:10,8.459186317,75.74097629,7.320054329,0.509863945,1.37058805,2.188397571,2.881346078,3.544989433,4.138188685,4.66420657,5.224343805,5.849292061,6.45696405,7.097310545,7.842500369,8.808447385,9.777786769,10.86504376,12.10601058,13.93360381,16.55280929,22.36484743
8100,Cluster:10,10.55988398,247.0400093,8.148253483,0.134196062,1.239587843,2.33763739,3.304080115,4.142633523,4.856520414,5.556558007,6.235930879,6.960234059,7.656638994,8.369139092,9.099908444,9.88366461,10.92190084,12.29088701,14.10889977,16.54726347,20.50069044,27.96693814
79882,Cluster:10,9.294799937,69.66730979,7.800451174,0.569991259,1.636354488,2.606538401,3.366635628,4.11520775,4.83536089,5.538903637,6.283835546,6.996110641,7.732968688,8.520458185,9.257743304,9.991692597,10.86649569,11.91565892,13.4446754,15.36571522,17.96829105,22.69618507
23059,Cluster:10,10.28724964,177.1996523,8.914611975,0.221807279,1.348249291,2.342833803,3.159459218,3.891963729,4.58531054,5.294799523,5.985860815,6.713587208,7.509940753,8.342722033,9.23050982,10.24208036,11.42827992,12.8065757,14.29820754,16.17337344,19.10122878,26.58162788
9101,Cluster:10,8.349639423,56.1329176,5.827427724,0.821109095,1.785115981,2.768687892,3.618108536,4.344275605,5.039270088,5.633267189,6.164774886,6.66302262,7.144723783,7.617313995,8.121798638,8.705529333,9.377746202,10.17170333,11.12040575,12.4436169,14.95734836,20.46228104
26146,Cluster:10,9.469903717,135.6894149,8.766720355,0.042757824,0.628654117,1.583729064,2.550078597,3.439712028,4.253016529,5.016956019,5.763582662,6.517471565,7.359130648,8.28912935,9.23034247,10.14170813,11.12181464,12.20643238,13.56094042,15.26313857,17.98289672,24.42578626
5813,Cluster:10,8.899328477,166.225865,7.866451455,0.205579572,0.916755377,1.554529722,2.197136597,2.868741105,3.549576034,4.165514258,4.803513971,5.446903159,6.093700373,6.746658647,7.546942422,8.45001117,9.505692533,10.73519256,12.45016267,14.98459342,18.7967107,25.6951085
338699,Cluster:10,10.62695894,173.4269471,10.17020435,0.081714055,0.974306319,2.1688716,3.164057932,4.018280395,4.86422621,5.698963124,6.589839041,7.471598796,8.439234201,9.459832553,10.53547728,11.66107535,12.84247002,14.18848475,15.65327786,17.42725633,20.18225225,26.02284908
85865,Cluster:10,7.498216507,104.7351347,5.92021894,0.240246475,1.117301159,1.915300067,2.615040789,3.271195227,3.835261421,4.360477771,4.917875914,5.491754458,6.04753917,6.599988945,7.173389638,7.764906499,8.406532279,9.191414167,10.2256189,11.61158589,13.76773052,18.67899757
55252,Cluster:10,9.860569698,75.18167231,9.804915555,0.273722821,1.010898707,1.973361101,2.850186758,3.787453417,4.746983934,5.680521714,6.540144452,7.425223811,8.355841388,9.301361267,10.15897633,11.10878286,12.23646617,13.59236897,15.18679491,16.95936004,19.4491861,24.35393948
132949,Cluster:10,9.35604332,139.8113969,7.686713877,0.10038963,1.09116967,2.138599733,3.138760734,3.98772425,4.841488151,5.626769352,6.394504048,7.097792974,7.78674056,8.445773968,9.131196191,9.831342217,10.6430607,11.67443813,12.95225591,14.62798155,17.23853494,22.12603423
374986,Cluster:10,8.9548796,108.8885833,8.464755005,0.257599472,1.048956265,1.805307885,2.513656124,3.187910455,3.770050231,4.377861888,4.990240918,5.616961208,6.296593852,7.076030797,7.938293475,8.932182023,10.13974787,11.65266546,13.50914621,16.0819902,19.80714748,26.00742456
196074,Cluster:10,7.731420513,93.56760017,6.261093062,0.208160014,1.131434535,2.036929588,2.782166751,3.414825709,4.024898609,4.612241694,5.190806555,5.795238051,6.37818335,6.976654977,7.581478911,8.216839339,8.885682128,9.675918771,10.66380777,11.98276475,13.92486774,17.98638232
8417,Cluster:10,9.3270606,90.98028831,8.505571965,0.304581952,1.171301608,1.992773212,2.79134001,3.558331111,4.312253252,5.029075421,5.746812346,6.442411916,7.132649997,7.909453499,8.71419146,9.56997594,10.7016866,12.06390308,13.54351045,15.46820056,18.31388688,25.76087401
23536,Cluster:10,9.356074863,104.4031986,7.683150724,0.180894877,1.247192113,2.23324978,3.173129841,4.032844238,4.799621535,5.529665642,6.257602952,6.935830741,7.635347481,8.371326081,9.142399562,9.907712692,10.75858728,11.71599496,13.01962598,14.76674895,17.58649766,23.68879752
29929,Cluster:10,12.02541475,455.8084535,9.223851349,0.134887461,1.152154352,2.022541291,2.958699403,3.830349068,4.61263942,5.376668708,6.200760639,7.018338231,7.828458769,8.689502854,9.599264843,10.60618467,11.71913481,13.05420042,14.73894116,17.25454332,21.84167044,33.55981127
100129250,Cluster:10,9.330289819,146.1814003,6.271144171,0.041895549,1.602779211,2.728914398,3.45333482,4.077896804,4.668467807,5.209203263,5.719462884,6.220948653,6.723688814,7.24110893,7.847536619,8.512893412,9.322663382,10.34904098,11.78976184,13.90405071,17.62769468,26.26658673
55171,Cluster:10,9.901563698,176.5482828,7.526671388,0.25722733,1.244507703,2.410939953,3.486206872,4.440430096,5.258082463,6.00230693,6.651824232,7.306102724,7.981738761,8.678176041,9.374205096,10.12750606,10.97484844,11.96710148,13.17501233,14.73842155,17.32866153,22.7948226
84220,Cluster:10,8.654780184,144.3286933,7.740301933,0.383661594,1.024838107,1.634759657,2.237019772,2.842349905,3.46206557,4.064723166,4.666138313,5.294388424,5.930405359,6.655266306,7.447557229,8.391254628,9.424792205,10.58265184,12.10658513,14.12757717,17.62897882,25.19811116
414245,Cluster:10,8.453306092,79.78826945,6.458652007,0.339006585,1.447173126,2.591115345,3.519169135,4.2764138,4.910089729,5.471843746,5.990775743,6.535456693,7.100880318,7.686372148,8.314580454,9.060466049,9.845304088,10.73506581,11.76565116,13.08784912,15.05962923,19.50803662
5451,Cluster:10,7.735193522,77.69442445,6.737575712,0.37119857,1.059903262,1.618914409,2.121967519,2.621317566,3.165360894,3.734211139,4.261721131,4.807003696,5.407742585,6.098329764,6.825236974,7.575998597,8.397544952,9.358893278,10.78189771,13.17782469,16.98229764,23.69229973
134492,Cluster:10,8.647810938,92.86160999,6.495117882,0.565023192,1.492621336,2.269871211,3.078304317,3.735633365,4.312064458,4.876566307,5.439039531,6.009432732,6.569466857,7.197990933,7.887844466,8.636039411,9.365632553,10.23075125,11.35156034,12.99995501,15.92655252,24.35999805
151050,Cluster:10,10.41095233,171.1093991,8.235986652,0.468711228,1.600740507,2.596916512,3.51017859,4.295916531,5.015809261,5.713555268,6.403033818,7.086790268,7.818168924,8.630214411,9.43200092,10.2995534,11.30948516,12.53190318,14.06557146,16.25889196,19.84665377,27.78955369
81790,Cluster:10,10.5966696,127.460216,9.521118164,0.154176635,1.254597714,2.380334029,3.437580959,4.333446678,5.178006946,5.973646699,6.750685677,7.595512389,8.440093919,9.315291846,10.2646696,11.29316848,12.43909142,13.85456484,15.44836453,17.53496863,20.52158022,26.76602425
57213,Cluster:10,9.804416823,198.8317038,9.453938245,0.116169017,0.808333546,1.748134906,2.650335318,3.515692215,4.356645902,5.143806108,5.967594115,6.815850189,7.718361772,8.612505239,9.578317873,10.57170004,11.68285788,12.96963046,14.56894218,16.91077903,20.3483183,25.40701578
152815,Cluster:10,9.675980896,175.3888073,6.798141186,0.392611298,1.534967919,2.668304578,3.63516116,4.458813092,5.21492174,5.885950324,6.509746452,7.096211322,7.640809616,8.22772018,8.828168728,9.513055293,10.28793985,11.25695428,12.45238185,14.04474575,16.61146175,23.45771319
51304,Cluster:10,9.354228424,50.67458316,7.300776051,0.348927113,1.539659717,2.846778764,4.056117284,5.091558982,6.045139472,6.903407644,7.648869356,8.245148057,8.782192876,9.397680431,10.09388626,10.78587889,11.5456911,12.39233503,13.38432739,14.66712721,16.70164141,19.90491494
120526,Cluster:10,9.349011554,191.218921,7.410775808,0.159318959,1.136470149,2.112471216,2.990772991,3.812768891,4.597110271,5.385168632,6.146320564,6.848674531,7.511783325,8.204316845,8.878777247,9.57106499,10.33428254,11.2235447,12.4032984,14.10624826,16.97133128,22.93329425
23408,Cluster:10,7.640621571,54.19506582,6.484315897,0.091468913,1.043812928,2.05607528,2.92072764,3.721417376,4.379944054,4.968568191,5.554245944,6.122804004,6.710994472,7.291463339,7.887966949,8.597603877,9.353821434,10.20573327,11.14859232,12.2881367,13.84785377,16.87867811
199870,Cluster:10,11.27103772,659.0189619,5.532231067,0.541078946,1.691459594,2.547744453,3.153750304,3.633453917,4.074162359,4.518464176,4.953697012,5.403544636,5.892381133,6.432187522,7.00386316,7.56801273,8.257655586,9.165684984,10.4814553,12.537638,16.65737112,36.58442604
643180,Cluster:10,10.06647298,239.8828818,8.379247028,0.433254044,1.516677544,2.331807231,2.959657002,3.577939474,4.215176784,4.839656864,5.496732239,6.194909499,6.925478247,7.658353423,8.439722944,9.326092001,10.51511217,11.9571865,13.90398822,16.56031124,20.43603781,27.76088697
63897,Cluster:10,9.706869341,249.1757542,8.034883048,0.099710506,0.930970747,1.889868411,2.680471962,3.346039848,3.976756653,4.667323939,5.33115563,6.034794438,6.754412573,7.478133786,8.230302299,9.087230229,10.16913056,11.3809229,12.78074884,14.71408881,17.00403181,23.26405005
114826,Cluster:10,8.345711231,65.62121008,7.413873162,0.103117207,0.785536582,1.83530309,2.828273246,3.702072163,4.502477951,5.189561756,5.835289971,6.493665742,7.128238518,7.799410208,8.509689378,9.289774526,10.13421842,11.11594532,12.30279743,13.84319176,16.1017287,19.89363523
56942,Cluster:10,7.540596061,60.19591912,5.746325118,0.62088028,1.598388925,2.293785749,2.847349008,3.350472395,3.835241417,4.317253282,4.8103507,5.308628277,5.841953889,6.370924257,6.909991208,7.501742053,8.221564559,9.096797513,10.10721947,11.60809622,14.23503511,19.82481571
201158,Cluster:10,7.019226763,64.60051697,5.783692975,0.466135596,1.19669908,1.766137586,2.275117819,2.750040749,3.199172893,3.636274675,4.07115576,4.534041664,5.004465372,5.533991333,6.117377932,6.786368795,7.533175172,8.533733724,9.848751778,11.73005774,14.51603955,20.10633049
411,Cluster:10,10.33459587,157.1783928,9.958885933,0.122555338,0.977268578,1.804314934,2.59415402,3.395109118,4.178963034,4.900313492,5.58658701,6.300366465,7.117585026,8.064695749,9.090468586,10.277485,11.70958281,13.35399505,15.22607255,17.96218036,22.48551279,30.73445886
