,,Detection Rate (Global Expression Specificity),,,,,,,,,,,,Detection Rate (Global Expression Specificity),,,,,,,
GeneID,Cluster,Recount2 TPM 0.1,Recount2 TPM 1.0,Recount2 RPKM 0.3,Recount2 RPKM 1.0,Dee2 TPM 0.1,Dee2 TPM 1.0,Dee2 RPKM 0.3,Dee2 RPKM 1.0,,,,,Recount2,,,,Dee2,,,
1270,Cluster:4,0.808343577,0.505782304,0.652158643,0.286305597,0.930940675,0.422861357,0.587315634,0.134595215,,,ClusterID,Size,Threshold of TPM 0.1,Threshold of TPM 1.0,Threshold of RPKM 0.3,Threshold of RPKM 1.0,Threshold of TPM 0.1,Threshold of TPM 1.0,Threshold of RPKM 0.3,Threshold of RPKM 1.0
1564,Cluster:4,0.811378973,0.488974738,0.634849359,0.306901136,0.917633563,0.47461488,0.620616191,0.218223533,,,Cluster:4,222,0.8292 (0.7867 - 0.8804),0.4886 (0.4082 - 0.5675),0.6533 (0.5657 - 0.7282),0.2741 (0.1971 - 0.3485),0.8944 (0.3715 - 0.9664),0.4538 (0.0436 - 0.6903),0.5853 (0.0695 - 0.8102),0.1773 (0.0099 - 0.4054)
1787,Cluster:4,0.905676944,0.558387477,0.758673457,0.267064697,0.983513602,0.711979679,0.872648312,0.30950508,,,Cluster:77,204,0.8744 (0.8408 - 0.9101),0.6479 (0.5864 - 0.7203),0.7763 (0.7215 - 0.8315),0.4427 (0.3631 - 0.5348),0.9534 (0.3874 - 0.9825),0.6778 (0.0309 - 0.8676),0.779 (0.0521 - 0.9354),0.3805 (0.0061 - 0.6127)
2157,Cluster:4,0.897825051,0.52775757,0.721345609,0.274164012,0.968403802,0.61129138,0.763782366,0.282546706,,,Cluster:87,195,0.8932 (0.8601 - 0.9275),0.7328 (0.6879 - 0.7876),0.8258 (0.7934 - 0.8713),0.5845 (0.5197 - 0.6571),0.9657 (0.5504 - 0.985),0.8176 (0.1169 - 0.9228),0.8814 (0.1804 - 0.9659),0.6038 (0.0307 - 0.7612)
2306,Cluster:4,0.789754911,0.391842059,0.540300529,0.233825854,0.847656506,0.451720747,0.568862668,0.249754179,,,Cluster:62,177,0.9158 (0.8906 - 0.9421),0.8005 (0.7576 - 0.8306),0.8752 (0.8421 - 0.9036),0.6952 (0.628 - 0.7424),0.9808 (0.6872 - 0.9886),0.905 (0.2216 - 0.9582),0.9492 (0.3057 - 0.9785),0.746 (0.0921 - 0.8694)
2780,Cluster:4,0.832877606,0.39146577,0.596718762,0.191480822,0.276565061,0.015175352,0.033972468,0.0028843,,,Cluster:12,198,0.9363 (0.9084 - 0.9577),0.8484 (0.8211 - 0.8857),0.9055 (0.8799 - 0.9358),0.7909 (0.7433 - 0.8466),0.9872 (0.9535 - 0.993),0.9554 (0.6825 - 0.9764),0.9756 (0.7852 - 0.987),0.8775 (0.4532 - 0.9438)
2796,Cluster:4,0.830544615,0.566264456,0.699571031,0.358076412,0.955965257,0.683661095,0.795870206,0.391740413,,,Cluster:43,308,0.9346 (0.9109 - 0.9572),0.8642 (0.8422 - 0.8916),0.912 (0.889 - 0.9363),0.8305 (0.7905 - 0.8662),0.9873 (0.9573 - 0.9925),0.964 (0.8051 - 0.9823),0.9781 (0.8763 - 0.9881),0.9159 (0.5731 - 0.9678)
3750,Cluster:4,0.815342548,0.50046409,0.644281665,0.31068911,0.953605375,0.654195346,0.768780728,0.394952475,,,Cluster:10,245,0.9592 (0.9453 - 0.9724),0.9086 (0.89 - 0.9273),0.9445 (0.9277 - 0.9618),0.8953 (0.8678 - 0.9199),0.9924 (0.9868 - 0.9959),0.9822 (0.9522 - 0.9889),0.9882 (0.9738 - 0.9931),0.9671 (0.8843 - 0.9829)
3770,Cluster:4,0.864034318,0.503499486,0.674535283,0.268068133,0.959144543,0.480449033,0.651540479,0.175860374,,,Cluster:2,366,0.9629 (0.9501 - 0.9748),0.9201 (0.9044 - 0.9376),0.9502 (0.9373 - 0.9657),0.91 (0.891 - 0.9331),0.9936 (0.9856 - 0.9964),0.986 (0.9215 - 0.991),0.9902 (0.9591 - 0.9941),0.9766 (0.8146 - 0.9869)
4117,Cluster:4,0.88307453,0.360434488,0.550234553,0.216867772,0.809046214,0.273418551,0.384595215,0.13123566,,,Cluster:85,260,0.9697 (0.9598 - 0.9786),0.9369 (0.9256 - 0.9502),0.9616 (0.9501 - 0.9733),0.932 (0.9193 - 0.9486),0.9948 (0.9893 - 0.9975),0.9888 (0.973 - 0.9937),0.9921 (0.9833 - 0.9958),0.9847 (0.9341 - 0.9913)
4901,Cluster:4,0.852695482,0.477460302,0.693048692,0.154780122,0.965683382,0.325155687,0.582251721,0.040691577,,,Cluster:34,304,0.9706 (0.9573 - 0.9798),0.9416 (0.9269 - 0.9565),0.9641 (0.9494 - 0.9762),0.9388 (0.9238 - 0.9553),0.9953 (0.9922 - 0.9975),0.9906 (0.9854 - 0.9945),0.9932 (0.9887 - 0.9962),0.9879 (0.9754 - 0.9929)
5343,Cluster:4,0.826631212,0.40892557,0.563178888,0.239018639,0.474008522,0.067338578,0.121533923,0.018010488,,,Cluster:74,324,0.9736 (0.9625 - 0.9817),0.9494 (0.9365 - 0.9602),0.9691 (0.9567 - 0.9794),0.9478 (0.9332 - 0.9614),0.9961 (0.9925 - 0.9981),0.992 (0.9845 - 0.9954),0.994 (0.9882 - 0.9968),0.99 (0.9752 - 0.9942)
5608,Cluster:4,0.817600281,0.439655821,0.604470311,0.266086346,0.873385775,0.512356604,0.628515241,0.274303507,,,Cluster:91,295,0.9757 (0.9659 - 0.9828),0.9538 (0.9424 - 0.9646),0.9725 (0.9612 - 0.9813),0.9533 (0.9406 - 0.9654),0.9964 (0.9933 - 0.9982),0.9931 (0.9873 - 0.9964),0.9948 (0.9901 - 0.9973),0.9917 (0.9835 - 0.9955)
