ClusterID,exemplar (local center),MemberGenes
Cluster:1,392360,340784;392360;91149;101928858;3952;59336;4619;26279;142683;3973;402117;100288122;619351;83659;644248;101929422;100996758;401036;7455;401492;101927543;779;100130539;284825;100506474;100132916;400360;642515;110599563;400794;3360;100505664;619564;51471;404216;401289;160728;50489;1237;23742;158062;109616999;123624;9293;400743;389860;346606;3859;109729169;2642;6291;285441;119395;389384;389336;407010;5540;251;1144;389257;55018;57369;1437;101929237;101927174;400084;378925;56302;57115;26280;101927934;6530;284485;10086;6570;100422737;729305;100874238;3929;100874205;64102;374387;105372412;253935;84290;285888;2994;474354;400696;101929329;100129654;6368;100506742;100506564;270;196993;101927727;6370;58498;3885;137196;105370969;79981;441061;259296;1261;100874091;389023;101928978;101927973;284191;64446;388939;341277;100507600;340286;79166;101926964;127665;100127967;389015;171169;100507027;107987337;7221;92304;8419;9154;440068;692210;54072;100113403;2740;140456;401250;101927189;2834;9623;8647;441355;6870;407018;4889;1149;143503;100861516;3817;5670;101927692;645843;150147;5309;101928335;246213;3458;102466720;129025;111216284;6440;643365;339512;2864;3195;94235;64241;169693;89780;1044;7054;5972;105373553;101928205;8456;645528;389549;201651;103752587;319101;101927150;1618;10720;170425;399693;101928248;102724224;137735;285126;101928017;89886;84701;100996490;388698;107985164;4879;9271;6121;109616967;6588;105369848;101929415;101927215;285668;50838;30813;400941;100506195;3593;344905;83894;9407;114770;6582;190;84618;340654;344901;442721;387978;101928200;1828;23553;26786;791114;100507612;728192;102724354;81285;100506737;150165;101927596;374864;171558;401109;400958;157381;100128420;642345;4018;284930;399949;151531;121838;389332;100128310;2865;101926892;399823;859;389602;390072;3963;152742;105374338;414194;100129066;100507206;401613;260429;1215;286753;10332;102216342;645864;136242;100507377;645027;644090;3849;84684;6355;729475;148738;6569;100885789;26526;3228;64579;692053;11105;388951;203430;64211;387778;729238;51214;101928227;246778;399697;94160;101927873;100129662;57481;100506376;23676;692202;6716;100874237;100506413;388611;652991;3850;109616965;5024;127;222611;100507403;285834;10;643036;284577;2849;647309;101927528;6361;3596;84109;79747;2837;441179;131368;196374;105369807;169026;927;102724550;3814;378832;653149;128876;100652791;401164;81501;100862662;5456;105373984;401463;160777;101928372;157848;134526;339778;2160;111064649;5232;1360;105372978;223075;149086;100506457;677681;105377108;147920;54866;100507091;92747;189;134391;100874055;101930421;56159;407738;101927438;128209;3651;10886;166752;26085;158763;641451;26080;101928844;101927539;144766;101060301;26082;23627;340990;101928687;100874206;11283;199974;145820;1470;340359;283299;126755;26238;400950;5669;149647;105369609;92346;57094;128646;148545;101927686;123745;388419;104502416;3889;149563;6718;101927972;404744;101927193;100131726;284116;338376;402569;84332;140458
Cluster:2,4257,4257;51203;9961;80781;1843;22904;11328;6891;64759;20;6446;9315;7163;64780;154810;6515;4646;23710;196;7277;23022;891;79144;5836;2534;4502;10188;1848;26012;501;3597;6482;123;7048;143686;2113;6925;217;22974;9645;1152;6672;1063;6385;8519;4008;3958;2548;54443;375790;22822;6890;1831;85456;57104;5784;7298;7169;23218;7040;23271;26227;378706;4001;58506;3726;26999;4430;4851;3693;6480;3678;9644;4171;5361;10460;29952;116983;9055;254102;5217;1992;131566;53827;1958;1514;780;976;8175;23345;2260;3490;5074;7832;4155
Cluster:3,7089,7089;114990;56977;10791;94240;5724;27040;4582;653269;3087;64283;55561;7004;79365;63898;3663;26873;9056;106632260;825;160428;54796;7041;4355;8706;4137;6334;9783;5924;257194;30817;6916;5026;29995;83394;109910381;54478;9945;55349;101927751;153020;109864281;9760;115290;8365;1844;1850;27143;11181;9848;259217;55034;958;84707;55506;80312;84460;10418;720;8497;653781;84557;1646;1675;286;23467;11076;57520;1731;25780;60489;7138;220441;79056;5638;388610;64168;7068;10125;3908;375298;58473;169611;1124;79974;4330;55890;10382;3606;8718;2983;7984;146206;2296;92312;57480;3176;9479;2242;153562;388228;90139;9472;29108;285313;115557;576;8339;84059;5734;1183;57214;773;8347;57333;2118;440689;1030;1513;25805;4900;79993;5787;23086;5790;3213;9863;8742;23555;22979;80206;367;84649;721;5028;2788;199731;4919;7148;6948;50649;1298;8577;9737;51296;117583
Cluster:4,222662,10216;5890;222662;55315;55582;84547;221264;100129195;92595;11133;100506714;138428;79862;54584;692099;125919;7633;100887750;317761;79078;130502;124045;51601;126231;148254;80313;729013;94009;84100;200931;102723553;57143;93587;79847;9015;221322;388567;64789;112611;100505854;80317;114609;267002;474384;100507602;145553;100129917;84693;100505681;147184;83943;101929147;653645;100506540;100874058;100287042;541565;25895;389161;5387;10166;2310;387032;729967;64081;150159;119392;222234;55199;83744;84816;51686;100506668;55295;54970;7564;100130771;440672;166815;101926918;8738;196951;100289388;150383;132228;56985;81602;54522;348793;285267;79629;339201;219844;84727;123872;7584;728194;7768;285193;83449;125893;54986;373863;51027;90025;84455;55520;84140;140699;8814;285605;92342;128439;1677;92104;84976;7711;644096;79758;148266;1018;55260;100131067;493812;286207;124790;9970;349136;7561;254042;340385;284086;100996842;145853;550631;84330;10597;136051;283870;150291;50840;399761;159371;7727;118672;284349;100289097;652276;127002;101928527;122509;79446;203054;55565;342945;55070;79906;1506;201514;53340;84920;161779;135154;90141;339803;60686;200765;54848;203245;441250;27039;90835;375287;24142;7442;653635;80339;26272;27077;55812;7566;57474;246269;55063;100507551;101929243;140680;150290;54826;200035;80127;79842;100529215;100506686;143879;84190;2822;55937;10799;100287722;339327;54059;79725;100505687;221786;339665;101926987;79741;81789;51058;8637;146434;100133091;7549;79411;100009676;119710;728489;7565;79963;203523;6553;64147;84992;5193;90693;84261;9465;79823;10233;54065;285190;84503;7773;202781;166785;642517;55277;255758;729092;2057;10230;115123;81691;389840;5994;101928525;84905;348094;727758;374928;253190;100306951;80237;144233;79896;54823;100133957;641339;7957;440295
Cluster:5,8660,8660;162073;27350;25937;4240;8870;85461;10723;11118;157;274;64116;57698;7538;146223;7091;3399;182;26137;57140;79585;10000;5817;439921;890;2050;65059;3241;27338;205;57162;4085;9743;84886;25902;8609;4067;9618;10379;6812;6195;51177;9531;8425;9585;5424;2305;2177;55959;114793;222166;9746;55205;162394;3566;2026;323;9322;83666;7273;3014;1728;55544;79085;8507;57804;10507;11130;5292;84293;8853;1164;10437;81628;8303;2767;2014;7205;8704;54874;440193;5795;56288;55605;6509;56907;10475;9462;22898;25959;125058;81855;3708;29127;10207;9232;54602;7351;55075;23348;6714;6284;55603;5360;2550;126308;5187;10174;84706;2131;6182;89891;6029;8933;5819;3659;57493;3070;56905;8334;9824;4739;123096;7804;51043;4121;54477;64151;161742;706;2353;26115;84679;513;1955;4615;9026;23092;25840;2887;26018;27242;113;10497;9846;22859;23135;89796;3006;94241;1051;9246;3832;55701;5831;23189;26140;8635;6935;399665;822;409;5580;7083;11113;10221;64859;5293;60312;4791;64332;129642;10615;861;7461;7280
Cluster:6,3483,126147;343521;126859;390937;440101;284427;651430;100132967;3483;102725254;100506810;339988;105378616;105369364;101669766;106144526;79802;90342;145226;285051;101928674;100506801;26775;102238594;85391;114036;147685;102466751;283446;152641;259294;102465134;6898;283579;1133;201853;112840933;105379487;339666;101928489;124221;105370526;1187;284486;8288;388849;23563;101927018;342977;94163;259236;100506164;200420;101928891;27006;147407;441369;100507475;100131814;168620;341208;105375624;100874114;283461;100128908;160287;100130548;100134259;101929387;25775;100507086;112267877;6580;56964;692085;109617000;100861540;242;363;153657;100130519;317760;107986100;1733;27285;100131496;85366;388531;206338;102724593;64396;103625681;339874;554279;8909;286183;643770;164656;101928550;643669;107985216;594837;653073;100874259;1146;27035;56;100132169;120935;5145;5146;55507;100128239;105370105;94086;440854;100133205;9597;94137;137902;92196;55282;100302182;140686;147658;101927289;158046;1395;109617002;54754;55811;100507300;107984813;339926;342346;79025;441476;2570;4807;154313;11280;4992;6462;692093;26793;102724094;414778;692199;728819;4438;123904;441072;146183;644242;25876;4838;80350;105375519;101929054;100506697;101928969;100506374;346653;6123;101928295;105376527;401288;619569;79998;100652824;286967;653075;55231;102724699;124783;55138;105373159;145376;1132;729652;157693;27127;101928424;121006;8468;130013;407014;693206;23415;2798;728441;387804;101927377;105379444;677796;257203;100874195;2298;284402;23615;5475;284948;692109;26801;58538;391123;643596;15;101928909;84229;106478991;317719;79857;100861549;283089;100874235;105371130;441054;8858;277;64693;733;5207;56120;101927394;100129722;1586;100289656;101929798;276;414212;123103;345193;101559451;480;144321;221481;284013;7125;342125;56659;105371592;100147744;148713;646024;101927043;407;105378668;595100;101409261;692091;29895;84771;27294;727856;100506385;259295;100509894;143941;51233;347517;54660;101926911;146802;100287036;26817;101926977;162515;26795;10089;105377623;644974;100133985;56164;5913;109617023;118442;79935;442523;89837;168448;101929760;26804;345275;102546294;57529;254050;162333;375519;284805;347148;8747;375189;101928111;401247;101928659;400579;259290;94162;100130967;283796;148198;107984208;81616;10850;389791;101060264;338739;101929469;26251;26773;23539;100507633;26822;143630;26789;101928725;1815;101929567;150197;6013;100130086;677831;442898;285456;142680;102723099;219731;1551;256006;26791;677792;400658;10738;101929511;763;105378753;84066;83401;93034;646324;116937;164592;105372273;388282;100505975;106144598;440435;730112;103091865;145837;283860;392862;107984773;49861;23630;101928646;163688;10517;389199;54457;101926926;5555;728586;153770;338321;693155;100996425;374877;101928865;100191040;106780802;3;283692;115111;730013;84688;197350;101928043;101927943;220832
Cluster:7,3851,866;284415;3851;338005;6359;1908;28234;5673;729;677819;677774;8431;6086;55237;4852;1469;6658;7364;8988;125704;84435;25818;9457;9947;340024;51266;1081;100506013;255480;221074;9370;1791;6822;677828;338821;7299;63928;54212;7101;643418;55195;10368;85397;4100;56662;26749;400655;3239;6363;5288;57379;388112;9573;338339;10321;100500819;10917;319103;7104;27290;100169760;677846;1555;11197;5225;4317;405753;1672;4892;389073;140679;140453;441177;11255;282763;102723547;2267;389903;2220;63978;820;5657;253012;642968;1007;810;131177;266740;8361;6750;56729;2993;9965;2147;677820;100130155;57084;11199;312;3713;10842;22802;27255;10590;54474;2835;100131138;2838;13;100131315;116135;727940;7021;83998;5644;117156;8581;6783;5651;2001;654429;4113;647166;30010;51438;645037;100506421;9971;159296;389434;79799;109616975;3026;11202;3024;158511;4101;79782;205147;133688;10369;3739;342865;100302221;143662;100124536;6037;254439;7366;9119;100505989;4321;4224;129684;80117;140689;80168;6362;887;5081;51327;10563;55600;28983
Cluster:8,347404,347404;90288;146227;594839;1101;22977;153;54361;5639;100507642;642280;100289178;283876;122970;283849;64800;56127;113835;100142659;389941;285643;284677;692063;644050;102060282;116443;645811;100129583;386758;130399;646892;100132249;163115;144535;101928100;100506411;80108;11144;79883;541468;100128553;89874;152206;161253;101929074;100287898;151176;100506258;155185;1160;102724776;100129543;85319;100289137;155382;8557;100132074;54933;574042;646023;2842;27156;441818;170487;84069;92691;257313;57821;7761;117166;80757;26819;5251;122481;102724231;648791;100131213;137075;1136;56121;101929423;221711;1768;100652739;203102;284958;644353;80328;338069;146547;51738;7757;338094;400759;7166;286151;171222;163071;105416157;152831;55321;115273;151516;100287569;7480;55124;80054;1775;102724153;388564;79816;1489;440584;147660;57576;101928079;100289092;729739;375791;55613;100874530;219833;399694;126823;83878;101929295;9476;165186;339524;9963;60437;347273;6915;347736;25790;56123;100130733;642658;5896;79412;155368;79656;727909;100129794;6007;7093;574040;4861;79841;51561;64091;401074;140462;80329;149428;105371374;344967;26548;101929705;100506119;256227;127943;83592;50940;100127888;22989;245;57165;389634;55897;114827;139735;92162;414149;6770;128344;56171;85474;677825;102060414;101930748;80086;102723927;9132;100506696;684959;29958;23769;282890;50943
Cluster:9,1739,171568;27430;11222;55249;5110;2764;1739;9931;5663;1891;79882;3607;79139;10939;25998;9101;55161;5987;9360;2098;5684;6938;3073;5981;84196;9709;10412;29117;54856;50807;79137;59286;9114;8454;9125;1182;375035;23197;50999;6789;28972;84991;401152;10928;223;5007;56270;9147;3420;4848;64210;10980;8669;27327;1349;10482;7247;9554;440400;23112;9989;9391;27101;5160;5694;170506;441951;23304;1994;285527;23032;79892;55898;54822;29896;10463;84447;392;4718;55236;25782;6391;663;80204;8450;25941;6760;26130;23760;529;5876;5927;9512;8894;51164;100188893;533;6738;51504;54926;29855;23386;23636;5917;10565;80777;55611;5704;100529063;375056;9551;8562;22907;23107;22862;80208;29890;100996928;1105;25942;8760;27336;30968;1892;1603;7319;10111;84364;8500;81575;9097;10419;9202;155435;23788;1781;1337;55671;64430;6924;5428;84271;51497;9988;51569;55729;11252;84248;1347;51021;6302;3836;23011;8021;54726;23063;7027;10762;10204;52;3035;408050;6856;51571;57179;9517;5611;4722;83606;6643;6047;100128731;8554;80012;26523;8872;22978;23279;23317;51714;26054;2874;55827;51585;10277;8678;51082;6730;6634;2971;10899;9167;10153;27249;2962;55905;55662;22930;7174;9776;30836;5257;25923;10490;8780;55250;57169;54973;55147;10611;5718;26043;1329;25844;5908;54107;51493;56987;23534;79188;51119;51596;23131;23332;23613;23527;55193;10006;2079;51592;22894;9818;51187;9057;7341;3658;9821;23065;22916;219771;8650;84061;79893;60412;51258;10175;9470;51652;7417;9475;10484;9790;10213;10531;23560;5514;10489;55761;6742;6917;4947;51755;7994;101060226;10726;3074;54014;10327;29058;8030;25962;26003;10436;22938;10640;4218;51371;9958;11103;55234;26100;51035;55207;9100;83737;5691;56990;5298;9646;14;10844;8916;50854;117246;54870;143384;51012;113201;9352;996;988;23325;5721;54542;80205;51604;26190;4780;57609;2589;55119;5537;29789;22926;54890;51465;23384;23272;9775;55608;113251;1398;80011;119504;23243;6342;80306;137964;58533;6611;1736;7322;26097;1207;2108;54499;10241;54906;1432;7072;5394;54994;29766;22931;53981;8833;51773;51479;10016;51132;80155;64062;5494;93974;4351;55720;55500;9318;9874;9857;6904;51573;79647;1459;23168;2677;4714;54927;25994;51075;9341
Cluster:10,11243,51318;6728;53944;8027;79590;55726;51603;11243;7014;730051;80146;8481;4702;23658;124944;55140;414777;55054;150472;819;144108;10026;55844;83930;10206;90806;11101;2647;115752;10488;9724;137492;6996;51526;100529257;10010;23205;80308;130916;23587;27309;9197;55768;100529261;388969;51647;84817;58490;81556;9552;10285;26995;29110;56942;55750;1819;10179;100529097;4707;51122;83940;201626;51691;79033;123811;9731;29095;116254;92482;8050;92400;9570;11311;54778;51264;51340;8703;147339;8575;10469;2958;54978;1479;85451;7965;92399;51096;55526;25977;27429;152100;5700;102724023;5929;55751;150275;8195;9553;55680;55596;23016;1716;65110;22834;5635;9326;53371;63875;57157;9984;22868;84545;9425;64853;27292;57380;55830;5435;158427;54708;128338;51117;112950;11011;11258;6635;63877;4695;22850;84864;57050;5926;29079;60492;64968;23404;11102;114044;56919;8813;124995;11319;84311;79657;11269;5440;85437;245711;79954;400506;80153;84993;4999;79004;55787;55101;55284;728642;9904;55798;22950;84498;51550;1998;23398;163049;402055;9675;54948;51362;64766;80314;10210;92675;51538;5000;84912;9063;1798;9474;63826;8649;10270;2140;54811;8890;84284;51182;100526783;401466;100093630;79571;7551;79868;4236;5715;25904;497661;51287;60485;55760;25980;2992;79872;9440;55245;84337;11216;91012;54455;51720;4724;55846;60558;51070;112495;7372;55486;29980;57456;84081;84191;9342;170622;56954;26123;80135;57017;90121;5771;29088;65082;8603;83746;57461;57129;4358;55856;51115;88745;4552;10286;132;58515;84946;79707;24140;51194;55829;79947;78996;54675;192669;6606;5826;6627;54816;22796;8634;23545;25938;56683;26515;80213;11340;10422;55253;10042;8723;27297;9994;25915;63892;5439;4361;1477;1203;134510;4287;56941;84549;57798;57693;51118;583;4817;93380;85459;57038;282991;10254;54939;5373;79912;51241;113402;1456;51077;5810;56945;29082;64121;64708;222194;116841;5202
